id,handle,followers_count,friends_count,isProxy
180,"WFCOfficial",84020,487,0
181,"fckoeln",643849,5415,0
182,"ASFCofficial",73939,240,0
183,"TheRedmenTV",342509,2176,0
184,"FIFAWorldCup",8015396,562,0
185,"VfB",526637,73,0
186,"FIFAcom",14186440,872,0
187,"fifacom_de",257208,730,0
188,"fifaworldcup_de",252798,210,0
189,"classicshirts",222027,5789,0
190,"ChesterfieldFC",79307,368,0
191,"ReadingFC",348433,137,0
192,"sportschau",641226,453,0
193,"hdm_stgt",4081,49,0
194,"MelissaReddy_",314185,508,0
195,"fetzi6",3016,798,0
196,"WestHam",1851081,278,0
197,"FCErzgebirgeAue",72607,16,0
198,"Hagi1857",367,1425,0
199,"YTFC",51732,117,0
200,"dcfcofficial",336142,293,0
201,"Sportkultur",15681,856,0
202,"jessburrellx",1493,1404,0
203,"BVB",3792057,693,0
204,"CambridgeUtdFC",66655,338,0
205,"deb_teams",52677,256,0
206,"HSV",712993,163,0
207,"bayer04fussball",425167,136,0
208,"acmilan",7768444,87,0
209,"NorwichCityFC",730715,182,0
210,"fcunion",156420,328,0
211,"officialgtfc",50063,151,0
212,"Eusebio_14",601,933,0
213,"SUFCRootsHall",86206,470,0
214,"Atleti",4905267,77,0
215,"officiallydale",72760,355,0
216,"Pompey",150586,261,0
217,"Spielvrlagerung",32386,339,0
218,"drfc_official",125384,350,0
219,"CTFCofficial",66875,395,0
220,"DLF",260925,664,0
221,"MillwallFC",134408,362,0
222,"TSV1860",122825,146,0
223,"Official_BRFC",90880,314,0
224,"fabiandoehla",51571,796,0
225,"WatfordFC",744242,1141,0
226,"EintrachtBSNews",118137,138,0
227,"Ligue1_ENG",512004,1107,0
228,"Only1Argyle",104806,333,0
229,"Official_STFC",78016,411,0
230,"TobiFischbeck",359,260,0
231,"BenniZander",7717,1062,0
232,"DLF_Sport",9274,648,0
233,"OfficialOAFC",67412,559,0
234,"BlackpoolFC",140409,287,0
235,"juventusfc",9063108,55,0
236,"BarnetFC",34841,239,0
237,"sportschauevent",40184,320,0
238,"BBCSport",8990803,350,0
239,"hut_und_garten",426,892,0
240,"ANNO_DE",7501,11,0
241,"zwwdf",221380,929,0
242,"SafeStandingRS",5404,83,0
243,"WBA",1093504,1027,0
244,"fifamedia",328229,636,0
245,"ChapecoenseReal",617172,174,0
246,"s04",752812,51,0
247,"ZDFsportstudio",352161,616,0
248,"crewealexfc",67669,198,0
249,"StevenageFC",66250,708,0
250,"FGRFC_Official",45947,262,0
251,"SkySportDE",431795,1479,0
252,"MarcelloSeufert",783,1820,0
